user_id,career_goal_id,experience_level,learning_style,weekly_hours,interests
user_0040,goal_product_manager,advanced,practice,5,product_strategy|computer_vision
user_0041,goal_frontend_eng,intermediate,visual,20,web_performance|llms
user_0042,goal_perf_eng,intermediate,visual,8,web_performance
user_0043,goal_tech_writer,advanced,practice,19,
user_0044,goal_perf_eng,intermediate,visual,7,web_performance
user_0045,goal_ai_engineer,intermediate,reading,17,generative_ai|llms
user_0046,goal_sysadmin,beginner,practice,7,cloud_native
user_0047,goal_ml_engineer,intermediate,visual,11,mlops
user_0048,goal_data_governance_analyst,beginner,reading,9,data_engineering|cybersecurity|web_performance
user_0049,goal_fullstack_eng,beginner,reading,7,web_performance
user_0050,goal_ml_engineer,advanced,visual,6,mlops
user_0051,goal_seo_specialist,beginner,reading,19,growth_marketing
user_0052,goal_it_support,beginner,visual,16,growth_marketing
user_0053,goal_data_analyst,intermediate,reading,13,data_engineering
user_0054,goal_infra_eng,advanced,practice,19,cloud_native
user_0055,goal_prompt_eng,beginner,practice,5,generative_ai|llms|cybersecurity
user_0056,goal_digital_marketer,beginner,practice,19,growth_marketing
user_0057,goal_network_eng,advanced,visual,5,cybersecurity
user_0058,goal_network_eng,beginner,practice,6,cybersecurity|cloud_native
user_0059,goal_robotics_eng,intermediate,visual,11,embedded_systems
user_0060,goal_product_manager,advanced,visual,17,product_strategy
user_0061,goal_embedded_eng,advanced,reading,12,embedded_systems
user_0062,goal_data_privacy_eng,intermediate,visual,12,cybersecurity
user_0063,goal_sre,intermediate,reading,14,devops_automation|cloud_native|ux_design
user_0064,goal_seo_specialist,beginner,reading,7,growth_marketing
user_0065,goal_mlops_eng,advanced,reading,8,mlops|devops_automation
user_0066,goal_cloud_eng,beginner,reading,13,cloud_native
user_0067,goal_data_eng,advanced,practice,13,data_engineering
user_0068,goal_ux_designer,advanced,practice,4,ux_design
user_0069,goal_embedded_eng,intermediate,practice,7,embedded_systems
user_0070,goal_nlp_eng,beginner,practice,8,nlp|llms
user_0071,goal_fullstack_eng,beginner,practice,14,web_performance
user_0072,goal_data_privacy_eng,intermediate,practice,19,cybersecurity
user_0073,goal_backend_eng,beginner,visual,17,mlops
user_0074,goal_fullstack_eng,beginner,practice,12,web_performance|ux_design
user_0075,goal_data_eng,advanced,practice,17,data_engineering
user_0076,goal_dba,advanced,visual,5,data_engineering|computer_vision
user_0077,goal_cloud_architect,beginner,reading,8,cloud_native
user_0078,goal_data_scientist,beginner,reading,10,nlp|data_engineering
user_0079,goal_robotics_eng,intermediate,practice,17,embedded_systems|nlp
user_0080,goal_ux_designer,beginner,visual,9,ux_design
user_0081,goal_platform_eng,intermediate,reading,11,cloud_native|devops_automation|growth_marketing
user_0082,goal_fullstack_eng,intermediate,visual,19,web_performance|nlp
user_0083,goal_frontend_eng,intermediate,reading,11,web_performance|embedded_systems
user_0084,goal_frontend_eng,intermediate,reading,12,web_performance|cloud_native
user_0085,goal_mlops_eng,intermediate,reading,20,mlops|devops_automation
user_0086,goal_sre,advanced,reading,4,devops_automation|cloud_native
user_0087,goal_cv_eng,intermediate,visual,12,computer_vision
user_0088,goal_data_scientist,intermediate,practice,14,nlp|data_engineering|mobile_dev
user_0089,goal_infra_eng,advanced,visual,16,cloud_native
user_0090,goal_qa_eng,advanced,reading,4,devops_automation|llms
user_0091,goal_security_eng,advanced,practice,10,cybersecurity
user_0092,goal_cloud_architect,advanced,reading,14,cloud_native
user_0093,goal_embedded_eng,advanced,reading,20,embedded_systems
user_0094,goal_growth_eng,intermediate,reading,13,growth_marketing
user_0095,goal_dba,advanced,reading,9,data_engineering|game_dev
user_0096,goal_ux_designer,intermediate,practice,4,ux_design
user_0097,goal_growth_eng,intermediate,practice,14,growth_marketing
user_0098,goal_sysadmin,advanced,visual,20,cloud_native
user_0099,goal_it_support,advanced,visual,6,
user_0100,goal_solutions_architect,advanced,practice,14,cloud_native
user_0101,goal_ml_researcher,beginner,practice,13,generative_ai
user_0102,goal_frontend_eng,beginner,visual,5,web_performance
user_0103,goal_perf_eng,advanced,visual,18,web_performance
user_0104,goal_platform_eng,advanced,visual,16,cloud_native|devops_automation
user_0105,goal_tech_support_eng,beginner,practice,4,
user_0106,goal_seo_specialist,beginner,reading,11,growth_marketing
user_0107,goal_analytics_eng,advanced,practice,18,data_engineering
user_0108,goal_ml_engineer,beginner,reading,8,mlops
user_0109,goal_sysadmin,advanced,practice,14,cloud_native
user_0110,goal_seo_specialist,advanced,practice,20,growth_marketing
user_0111,goal_infra_eng,advanced,reading,9,cloud_native
user_0112,goal_digital_marketer,intermediate,reading,11,growth_marketing
user_0113,goal_ui_designer,advanced,reading,11,ux_design
user_0114,goal_fullstack_eng,advanced,reading,11,web_performance
user_0115,goal_fullstack_eng,advanced,visual,8,web_performance
user_0116,goal_prompt_eng,beginner,practice,10,generative_ai|llms|blockchain
user_0117,goal_mlops_eng,intermediate,practice,18,mlops|devops_automation
user_0118,goal_platform_eng,intermediate,reading,4,cloud_native|devops_automation|game_dev
user_0119,goal_seo_specialist,intermediate,visual,15,growth_marketing
user_0120,goal_growth_eng,intermediate,practice,11,growth_marketing
user_0121,goal_tech_support_eng,intermediate,visual,16,blockchain
user_0122,goal_ios_eng,intermediate,practice,9,mobile_dev
user_0123,goal_sysadmin,advanced,practice,4,cloud_native
user_0124,goal_sre,advanced,visual,6,devops_automation|cloud_native
user_0125,goal_game_dev,intermediate,visual,5,game_dev
user_0126,goal_backend_eng,beginner,reading,14,mlops
user_0127,goal_ios_eng,intermediate,reading,17,mobile_dev
user_0128,goal_backend_eng,intermediate,visual,5,mlops
user_0129,goal_cloud_eng,advanced,visual,4,cloud_native|computer_vision
user_0130,goal_perf_eng,advanced,visual,11,web_performance|generative_ai
user_0131,goal_nlp_eng,beginner,practice,10,nlp|llms
user_0132,goal_sysadmin,intermediate,visual,7,cloud_native
user_0133,goal_salesforce_dev,intermediate,visual,4,product_strategy
user_0134,goal_growth_eng,intermediate,reading,10,growth_marketing
user_0135,goal_mlops_eng,advanced,visual,7,mlops|devops_automation
user_0136,goal_ar_vr_dev,advanced,practice,7,game_dev|embedded_systems
user_0137,goal_erp_consultant,beginner,reading,17,product_strategy
user_0138,goal_embedded_eng,advanced,practice,14,embedded_systems
user_0139,goal_data_analyst,intermediate,visual,17,data_engineering
user_0140,goal_cloud_architect,intermediate,practice,8,cloud_native
user_0141,goal_infra_eng,advanced,practice,19,cloud_native|data_engineering
user_0142,goal_sysadmin,advanced,practice,12,cloud_native
user_0143,goal_android_eng,beginner,reading,18,mobile_dev
user_0144,goal_perf_eng,advanced,practice,16,web_performance
user_0145,goal_ios_eng,beginner,reading,10,mobile_dev|ux_design
user_0146,goal_cloud_eng,intermediate,reading,12,cloud_native
user_0147,goal_dba,beginner,visual,17,data_engineering|cloud_native
user_0148,goal_tech_support_eng,beginner,practice,19,
user_0149,goal_game_dev,intermediate,visual,6,game_dev
user_0150,goal_solutions_architect,intermediate,practice,15,cloud_native|web_performance
user_0151,goal_it_support,intermediate,reading,14,
user_0152,goal_cloud_eng,intermediate,reading,12,cloud_native
user_0153,goal_frontend_eng,intermediate,visual,9,web_performance|cloud_native
user_0154,goal_data_governance_analyst,intermediate,practice,20,data_engineering|cybersecurity|web_performance
user_0155,goal_scrum_master,beginner,visual,13,product_strategy
user_0156,goal_frontend_eng,intermediate,visual,8,web_performance
user_0157,goal_fullstack_eng,advanced,reading,8,web_performance|llms
user_0158,goal_ui_designer,intermediate,visual,4,ux_design
user_0159,goal_qa_eng,intermediate,reading,14,devops_automation
user_0160,goal_analytics_eng,intermediate,reading,7,data_engineering
user_0161,goal_mlops_eng,beginner,practice,5,mlops|devops_automation
user_0162,goal_prompt_eng,intermediate,visual,11,generative_ai|llms|ux_design
user_0163,goal_cv_eng,intermediate,practice,11,computer_vision
user_0164,goal_salesforce_dev,intermediate,reading,13,product_strategy
user_0165,goal_product_manager,intermediate,practice,5,product_strategy
user_0166,goal_ux_designer,beginner,visual,10,ux_design
user_0167,goal_backend_eng,beginner,visual,9,mlops
user_0168,goal_dba,intermediate,reading,19,data_engineering|generative_ai
user_0169,goal_solutions_architect,advanced,reading,18,cloud_native|product_strategy
user_0170,goal_mlops_eng,intermediate,practice,10,mlops|devops_automation
user_0171,goal_infra_eng,advanced,visual,12,cloud_native|web_performance
user_0172,goal_prompt_eng,intermediate,practice,13,generative_ai|llms|mlops
user_0173,goal_release_eng,advanced,reading,12,devops_automation|data_engineering
user_0174,goal_network_eng,intermediate,visual,5,cybersecurity
user_0175,goal_infra_eng,advanced,reading,4,cloud_native
user_0176,goal_ml_researcher,advanced,reading,5,generative_ai|llms
user_0177,goal_seo_specialist,intermediate,practice,18,growth_marketing
user_0178,goal_fullstack_eng,advanced,reading,6,web_performance|game_dev
user_0179,goal_it_support,intermediate,reading,7,
user_0180,goal_data_eng,advanced,reading,13,data_engineering
user_0181,goal_embedded_eng,advanced,visual,18,embedded_systems
user_0182,goal_ml_researcher,intermediate,visual,16,generative_ai
user_0183,goal_network_eng,beginner,practice,18,cybersecurity
user_0184,goal_platform_eng,intermediate,practice,19,cloud_native|devops_automation|data_engineering
user_0185,goal_ui_designer,beginner,visual,12,ux_design
user_0186,goal_dba,intermediate,practice,19,data_engineering|product_strategy
user_0187,goal_cv_eng,advanced,visual,13,computer_vision|web_performance
user_0188,goal_dba,beginner,visual,7,data_engineering|game_dev
user_0189,goal_sysadmin,advanced,visual,19,cloud_native
user_0190,goal_blockchain_dev,advanced,reading,17,blockchain
user_0191,goal_it_support,beginner,reading,8,
user_0192,goal_devops_eng,advanced,practice,8,devops_automation|cloud_native|product_strategy
user_0193,goal_mlops_eng,intermediate,reading,20,mlops|devops_automation
user_0194,goal_fullstack_eng,intermediate,practice,13,web_performance
user_0195,goal_product_manager,advanced,reading,8,product_strategy
user_0196,goal_release_eng,intermediate,reading,16,devops_automation
user_0197,goal_sysadmin,beginner,practice,11,cloud_native
user_0198,goal_qa_eng,intermediate,visual,14,devops_automation
user_0199,goal_digital_marketer,intermediate,reading,8,growth_marketing
user_0200,goal_tech_support_eng,beginner,practice,14,
user_0201,goal_ai_engineer,intermediate,visual,20,generative_ai|llms
user_0202,goal_sysadmin,intermediate,practice,8,cloud_native|mlops
user_0203,goal_mlops_eng,intermediate,reading,16,mlops|devops_automation
user_0204,goal_game_dev,advanced,practice,16,game_dev|product_strategy
user_0205,goal_android_eng,intermediate,practice,5,mobile_dev
user_0206,goal_ux_designer,beginner,practice,6,ux_design|data_engineering
user_0207,goal_infra_eng,advanced,practice,7,cloud_native
user_0208,goal_release_eng,beginner,visual,14,devops_automation|data_engineering
user_0209,goal_erp_consultant,intermediate,reading,8,product_strategy|growth_marketing
user_0210,goal_perf_eng,advanced,practice,9,web_performance
user_0211,goal_data_eng,advanced,practice,11,data_engineering|blockchain
user_0212,goal_tech_support_eng,beginner,visual,18,
user_0213,goal_ui_designer,intermediate,practice,4,ux_design
user_0214,goal_sysadmin,advanced,practice,9,cloud_native
user_0215,goal_mlops_eng,intermediate,practice,13,mlops|devops_automation
user_0216,goal_ui_designer,advanced,reading,18,ux_design
user_0217,goal_growth_eng,intermediate,visual,11,growth_marketing|blockchain
user_0218,goal_devops_eng,advanced,reading,13,devops_automation|cloud_native
user_0219,goal_bi_analyst,advanced,reading,12,data_engineering
user_0220,goal_data_analyst,advanced,practice,5,data_engineering
user_0221,goal_scrum_master,intermediate,visual,15,product_strategy
user_0222,goal_frontend_eng,advanced,reading,8,web_performance
user_0223,goal_ui_designer,intermediate,reading,5,ux_design|llms
user_0224,goal_product_manager,beginner,visual,13,product_strategy
user_0225,goal_android_eng,beginner,visual,8,mobile_dev
user_0226,goal_erp_consultant,intermediate,practice,20,product_strategy
user_0227,goal_fullstack_eng,intermediate,reading,13,web_performance
user_0228,goal_digital_marketer,beginner,reading,6,growth_marketing
user_0229,goal_prompt_eng,beginner,practice,16,generative_ai|llms
user_0230,goal_dba,intermediate,visual,12,data_engineering
user_0231,goal_pentester,advanced,practice,12,cybersecurity|growth_marketing
user_0232,goal_product_manager,advanced,reading,7,product_strategy
user_0233,goal_robotics_eng,advanced,practice,14,embedded_systems|generative_ai
user_0234,goal_ux_designer,advanced,reading,13,ux_design|computer_vision
user_0235,goal_game_dev,beginner,visual,5,game_dev
user_0236,goal_growth_eng,beginner,visual,11,growth_marketing
user_0237,goal_pentester,intermediate,practice,17,cybersecurity|embedded_systems
user_0238,goal_product_manager,beginner,reading,7,product_strategy
user_0239,goal_tech_support_eng,intermediate,visual,15,
user_0240,goal_data_privacy_eng,beginner,reading,7,cybersecurity
user_0241,goal_robotics_eng,advanced,reading,5,embedded_systems
user_0242,goal_sre,beginner,reading,6,devops_automation|cloud_native
user_0243,goal_embedded_eng,beginner,reading,11,embedded_systems|generative_ai
user_0244,goal_nlp_eng,beginner,visual,10,nlp|llms
user_0245,goal_product_manager,intermediate,visual,4,product_strategy|mobile_dev
user_0246,goal_fullstack_eng,beginner,visual,12,web_performance
user_0247,goal_analytics_eng,beginner,visual,15,data_engineering|generative_ai
user_0248,goal_erp_consultant,advanced,reading,4,product_strategy
user_0249,goal_analytics_eng,beginner,practice,17,data_engineering
user_0250,goal_security_eng,intermediate,reading,15,cybersecurity|computer_vision
user_0251,goal_network_eng,intermediate,practice,11,cybersecurity
user_0252,goal_ux_designer,intermediate,practice,4,ux_design|data_engineering
user_0253,goal_ml_engineer,intermediate,reading,7,mlops
user_0254,goal_tech_support_eng,intermediate,visual,6,
user_0255,goal_android_eng,beginner,visual,12,mobile_dev
user_0256,goal_ux_designer,advanced,practice,14,ux_design
user_0257,goal_devops_eng,advanced,reading,18,devops_automation|cloud_native
user_0258,goal_network_eng,beginner,practice,7,cybersecurity
user_0259,goal_game_dev,advanced,practice,10,game_dev
user_0260,goal_infra_eng,beginner,reading,14,cloud_native
user_0261,goal_sysadmin,advanced,visual,14,cloud_native
user_0262,goal_infra_eng,intermediate,reading,8,cloud_native
user_0263,goal_robotics_eng,beginner,visual,6,embedded_systems
user_0264,goal_ml_researcher,advanced,practice,15,generative_ai
user_0265,goal_nlp_eng,advanced,practice,14,nlp|llms
user_0266,goal_embedded_eng,advanced,reading,5,embedded_systems|ux_design
user_0267,goal_solutions_architect,intermediate,visual,20,cloud_native
user_0268,goal_data_privacy_eng,beginner,visual,15,cybersecurity|devops_automation
user_0269,goal_dba,intermediate,practice,11,data_engineering
user_0270,goal_infra_eng,advanced,practice,4,cloud_native
user_0271,goal_scrum_master,advanced,reading,4,product_strategy
user_0272,goal_analytics_eng,intermediate,reading,15,data_engineering
user_0273,goal_data_analyst,advanced,practice,16,data_engineering|mlops
user_0274,goal_mlops_eng,beginner,visual,20,mlops|devops_automation|ux_design
user_0275,goal_data_privacy_eng,intermediate,reading,9,cybersecurity
user_0276,goal_cloud_architect,intermediate,practice,6,cloud_native
user_0277,goal_ml_engineer,advanced,visual,12,mlops|llms
user_0278,goal_release_eng,intermediate,practice,18,devops_automation
user_0279,goal_platform_eng,advanced,visual,15,cloud_native|devops_automation
user_0280,goal_infra_eng,advanced,practice,13,cloud_native|devops_automation
user_0281,goal_data_scientist,beginner,visual,10,nlp|data_engineering|ux_design
user_0282,goal_growth_eng,beginner,reading,13,growth_marketing
user_0283,goal_android_eng,advanced,reading,9,mobile_dev|devops_automation
user_0284,goal_nlp_eng,advanced,visual,20,nlp|llms
user_0285,goal_dba,intermediate,visual,16,data_engineering
user_0286,goal_digital_marketer,intermediate,visual,14,growth_marketing|generative_ai
user_0287,goal_qa_eng,intermediate,practice,17,devops_automation
user_0288,goal_solutions_architect,intermediate,visual,18,cloud_native|generative_ai
user_0289,goal_ar_vr_dev,beginner,reading,7,game_dev|embedded_systems
user_0290,goal_perf_eng,intermediate,practice,6,web_performance
user_0291,goal_sre,advanced,reading,11,devops_automation|cloud_native
user_0292,goal_ios_eng,beginner,practice,7,mobile_dev
user_0293,goal_security_eng,intermediate,reading,8,cybersecurity
user_0294,goal_perf_eng,beginner,visual,8,web_performance|data_engineering
user_0295,goal_seo_specialist,beginner,visual,19,growth_marketing
user_0296,goal_sysadmin,advanced,reading,14,cloud_native
user_0297,goal_ui_designer,intermediate,visual,19,ux_design
user_0298,goal_release_eng,intermediate,practice,5,devops_automation
user_0299,goal_cloud_eng,intermediate,reading,18,cloud_native
user_0300,goal_data_scientist,intermediate,visual,6,nlp|data_engineering|embedded_systems
